kit_id,transect_location,delta_do_hr,d_pco2,d_pch4,d_pn2o,sal_psu,ph,orp_mv,alk_mgl_caco3,sulfate_ppm,nitrate_ppm,npoc_mgl,tdn_mgl,SUVA254,FI,HIX,gwc_perc,loi_perc,bulk_density_g_cm3,tc_perc,tn_perc,latitude,longitude,macrophytes,system,rotten_eggs
K015,Upland,0.3044477441168235,,,,16.05,7.29,334,67,1264.167,7.641,4.36,0.437,,,,34,10,0.9056465805097804,6.53,0.38,37.4147,-76.7161,1,1,1
K015,Wetland,3.303568587178433,7945.221415839063,-0.6155454545454545,-2.303320972073678,16.05,7.29,334,67,1264.167,7.641,4.36,0.437,,,,223,20,0.22177246038479376,6.37,0.53,37.4147,-76.7161,1,1,1
K017,Sediment,132.80444948143352,1168.1877828054294,1.1446601809954748,0.8114751040723993,2.7,7.07,328,33,196.593,-1.075,4.94,0.316,,,,201,12,,,,37.5678,-76.8867,1,1,1
K017,Transition,0.25071910670536846,-14049.008021390375,-3.1909090909090905,1.7862128663101648,2.7,7.07,328,33,196.593,-1.075,4.94,0.316,,,,85,14,0.7048648648648649,3.98,0.33,37.5678,-76.8867,1,1,1
K017,Upland,0.45135715164206097,-17611.25652854517,-0.38181818181818183,-1.675655767260249,2.7,7.07,328,33,196.593,-1.075,4.94,0.316,,,,8,9,0.7537037037037037,5.85,0.34,37.5678,-76.8867,1,1,1
K017,Wetland,44.95392893707192,5775.764705882353,-2.803070588235294,-1.775,2.7,7.07,328,33,196.593,-1.075,4.94,0.316,,,,494,25,0.18249158249158248,6.67,0.64,37.5678,-76.8867,1,1,1
K022,Sediment,,-15102.857447326758,-4.30149719279016,-1.330600414078675,0.22,7.28,322,126,27.671,0.196,27.34,1.657,3.569356915,1.540222121,0.897077236,451,24,,,,41.4629,-82.9971,2,2,2
K022,Transition,0.11002514263148123,756.9030175706648,-0.9180896969696968,13.087862216959511,0.22,7.28,322,126,27.671,0.196,27.34,1.657,3.569356915,1.540222121,0.897077236,353,37,0.2262693156732892,,2,41.4629,-82.9971,2,2,2
K022,Upland,0.18481857281053085,-46819.23356878984,-1.66,-9.327652173913044,0.22,7.28,322,126,27.671,0.196,27.34,1.657,3.569356915,1.540222121,0.897077236,58,15,0.7240506329113923,10.67,0.72,41.4629,-82.9971,2,2,2
K022,Wetland,2.1149559384179497,6167.692242114237,3.746922165387894,-1.4756949070758738,0.22,7.28,322,126,27.671,0.196,27.34,1.657,3.569356915,1.540222121,0.897077236,181,16,0.3825622775800712,10.39,1.27,41.4629,-82.9971,2,2,2
K037,Sediment,70.72506576821895,5402.230199326107,-5.9013780416514425,4.851453126050419,0.41,6.67,348,28,24.73,0.096,5.63,0.298,2.972783104,1.557987933,0.891329514,211,14,,,,37.5569,-76.9731,1,,1
K037,Wetland,19.92507300671734,-26145.1781084706,-1.5446407331096754,-12.21574526627185,0.41,6.67,348,28,24.73,0.096,5.63,0.298,2.972783104,1.557987933,0.891329514,265,19,0.2857534246575343,5.32,0.55,37.5569,-76.9731,1,,1
K021,Sediment,176.5908227278485,,,,0.27,7.52,298,167,3.174,0.055,30.06,1.876,3.438941473,1.633106341,0.834616686,206,15,,,,41.6056,-83.1526,2,2,1
K021,Transition,1.4828696741895522,-16110.894385026737,-1.336477272727273,137.47902347237076,0.27,7.52,298,167,3.174,0.055,30.06,1.876,3.438941473,1.633106341,0.834616686,270,33,0.28189189189189184,11.58,1.05,41.6056,-83.1526,2,2,1
K021,Upland,0.6135046131859841,-3676.3526854219945,-0.6330516751918159,12.006752194373405,0.27,7.52,298,167,3.174,0.055,30.06,1.876,3.438941473,1.633106341,0.834616686,27,12,0.689763779527559,7.43,0.56,41.6056,-83.1526,2,2,1
K021,Wetland,1.2373731647608692,-6111.964637238292,-1.1511364643881268,20.83451109706491,0.27,7.52,298,167,3.174,0.055,30.06,1.876,3.438941473,1.633106341,0.834616686,305,26,0.22560556463835815,7.45,0.81,41.6056,-83.1526,2,2,1
K050,Sediment,0.2304239967990055,6877.148303765949,-0.7848007469654527,20.733201803299096,0.06,6.08,357,18,6.372,1.608,5,0.607,4.627922436,1.589710014,0.899111989,29,0,,,,37.3344,-77.2072,2,3,1
K050,Transition,0.1193785378849861,7212.881372549022,1.3304877450980386,38.46910074509804,0.06,6.08,357,18,6.372,1.608,5,0.607,4.627922436,1.589710014,0.899111989,66,7,0.9210843373493977,2.36,0.15,37.3344,-77.2072,2,3,1
K050,Upland,1.3134385637545387,-77475.22613419546,-2.375217391304348,-0.3521739130434783,0.06,6.08,357,18,6.372,1.608,5,0.607,4.627922436,1.589710014,0.899111989,,,,35.14,1.38,37.3344,-77.2072,2,3,1
K050,Wetland,185.7624768330244,,,,0.06,6.08,357,18,6.372,1.608,5,0.607,4.627922436,1.589710014,0.899111989,400,31,0.2144,6.82,0.65,37.3344,-77.2072,2,3,1
K019,Sediment,0.07890802262914881,-1563.7352941176468,4.659323642533936,2.2843597194570138,0.18,7.9,322,105,27.005,0.044,7.48,0.366,,,,21,1,,,,46.6533,-92.2266,1,2,1
K019,Transition,0.9667491717851684,-26388.417112299463,-2.4461614973262034,-17.35719622459893,0.18,7.9,322,105,27.005,0.044,7.48,0.366,,,,34,4,1.2977611940298508,1.72,0.06,46.6533,-92.2266,1,2,1
K019,Upland,0.35290277555148797,,,,0.18,7.9,322,105,27.005,0.044,7.48,0.366,,,,,,,7.63,0.64,46.6533,-92.2266,1,2,1
K019,Wetland,0.09419446955035238,-5706.214285714286,-2.118785714285714,0.8114102689075631,0.18,7.9,322,105,27.005,0.044,7.48,0.366,,,,12,1,1.5644767139048492,0.63,,46.6533,-92.2266,1,2,1
K026,Sediment,23.48894970487532,-14869.064081996434,-3.806712121212121,-1.4956515151515153,31.86,7.38,347,131,2434.49,10.106,6.19,1.319,,,,149,9,,,,37.7106,-75.6117,1,3,1
K026,Transition,0.5130700731906171,-30732.06957063019,-2.15118183737263,-1.15214659789713,31.86,7.38,347,131,2434.49,10.106,6.19,1.319,,,,54,34,0.3845016033944153,11.47,1.08,37.7106,-75.6117,1,3,1
K026,Upland,0.17862078782907714,2411.806571911061,-3.9848287081339713,88.84615114382211,31.86,7.38,347,131,2434.49,10.106,6.19,1.319,,,,10,2,1.5527272727272727,2.23,0.17,37.7106,-75.6117,1,3,1
K026,Wetland,41.60689448277742,538.2279914972796,-3.876159898575357,-0.5983969696969696,31.86,7.38,347,131,2434.49,10.106,6.19,1.319,,,,160,15,0.3480121686038302,4.19,0.36,37.7106,-75.6117,1,3,1
K026,Wetland,41.60689448277742,538.2279914972796,-3.876159898575357,-0.5983969696969696,31.86,7.38,347,131,2434.49,10.106,6.19,1.319,,,,160,15,0.5838742003914112,4.19,0.36,37.7106,-75.6117,1,3,1
K034,Sediment,177.19081872787513,21551.019950637598,-0.232409749074455,-0.032790630193335946,1.75,6.92,180,57,107.773,1.16,5.89,0.771,3.377437639,1.546043066,0.902520663,209,18,,,,38.7746,-75.9752,1,1,1
K034,Transition,0.31987086710169715,-18974.23053221289,-0.6767619047619048,0.5888245546218489,1.75,6.92,180,57,107.773,1.16,5.89,0.771,3.377437639,1.546043066,0.902520663,416,32,0.2170542635658915,9.45,0.88,38.7746,-75.9752,1,1,1
K034,Upland,0.22542663006319527,,,,1.75,6.92,180,57,107.773,1.16,5.89,0.771,3.377437639,1.546043066,0.902520663,48,10,0.9067567567567566,9.8,0.66,38.7746,-75.9752,1,1,1
K034,Wetland,113.18905675786036,-18033.016517573997,-0.435147219037222,1.9421027407470852,1.75,6.92,180,57,107.773,1.16,5.89,0.771,3.377437639,1.546043066,0.902520663,259,22,0.3292479108635098,6.93,0.73,38.7746,-75.9752,1,1,1
K030,Sediment,48.353260059122285,1079.3101604278072,-3.2670000000000003,-0.94775,13.31,6.7,354,76,329.672,1.644,6.74,0.797,3.840797545,1.611789981,0.902874329,297,17,,,,39.0884,-75.4374,1,3,2
K030,Upland,2.1156678548561274,-16886.94957983194,-1.2021023342670403,19.615453126050422,13.31,6.7,354,76,329.672,1.644,6.74,0.797,3.840797545,1.611789981,0.902874329,81,78,0.17667998401482693,27.84,1.56,39.0884,-75.4374,1,3,2
K030,Wetland,0.21854460941943263,8878.708587240395,-1.394090909090909,-1.689659090909091,13.31,6.7,354,76,329.672,1.644,6.74,0.797,3.840797545,1.611789981,0.902874329,170,14,0.48404429371361424,5.49,0.54,39.0884,-75.4374,1,3,2
K059,Sediment,6.295386099851279,-3215.174688057039,-3.4279545454545453,-0.28318181818181815,12.52,7.14,327,85,887.828,-1.044,6.14,0.425,3.042390524,1.523065856,0.88594834,302,29,,,,38.4292,-76.2374,,3,1
K059,Upland,1.5456286699434068,26319.564705882345,-2.6472,-0.25439999999999996,12.52,7.14,327,85,887.828,-1.044,6.14,0.425,3.042390524,1.523065856,0.88594834,183,88,0.15437870917245358,31.36,1.07,38.4292,-76.2374,,3,1
K059,Wetland,12.928261509658276,-30795.538324420682,-1.6306212121212122,-8.454545454545454e-4,12.52,7.14,327,85,887.828,-1.044,6.14,0.425,3.042390524,1.523065856,0.88594834,786,64,0.09578190172575685,16.43,1.53,38.4292,-76.2374,,3,1
K041,Sediment,0.3911827081122641,647.3004201680676,-1.122927731092437,-0.3291428571428571,33.34,7.29,265,124,2603.322,11.619,6.5,0.477,3.049893884,1.546345086,0.882826758,26,1,,,,,,,,
K041,Transition,1.995560370953684,-771.4319344338546,-2.1495652173913045,-0.48,33.34,7.29,265,124,2603.322,11.619,6.5,0.477,3.049893884,1.546345086,0.882826758,782,76,0.10212093991730568,22.73,1.43,,,,,
K041,Wetland,0.26092260815515533,204.17484708902793,-2.365,-0.26,33.34,7.29,265,124,2603.322,11.619,6.5,0.477,3.049893884,1.546345086,0.882826758,23,2,1.4813008130081302,1.58,0.11,,,,,
K054,Sediment,0.3151751392861516,3354.5374331550793,-5.669225710890417,-1.0908030303030305,10.3,7,150,192,482.581,-0.787,10.01,1.576,4.224991028,1.557739524,0.923344115,388,30,,,,38.9677,-75.3703,3,3,2
K054,Transition,2.620691909422585,-31248.4846202632,-1.8718333914697958,0.710198409069288,10.3,7,150,192,482.581,-0.787,10.01,1.576,4.224991028,1.557739524,0.923344115,247,87,0.10288184438040346,24.58,1.2,38.9677,-75.3703,3,3,2
K054,Upland,0.385608889017918,9926.261729691876,-1.372975350140056,-0.22996607142857145,10.3,7,150,192,482.581,-0.787,10.01,1.576,4.224991028,1.557739524,0.923344115,16,11,0.5898000347302489,10.24,0.57,38.9677,-75.3703,3,3,2
K054,Wetland,1.249987709556471,9905.75435391548,-1.1857154122518576,-0.7497379712580685,10.3,7,150,192,482.581,-0.787,10.01,1.576,4.224991028,1.557739524,0.923344115,389,45,0.20635269831304945,12.76,0.92,38.9677,-75.3703,3,3,2
K044,Sediment,61.49490675721319,-1314.3049910873451,-4.183484848484849,-4.128e-4,5.11,6.88,335,70,159.786,-2.413,6.85,0.464,2.683293298,1.571523774,0.887181388,226,13,,,,38.8837,-76.5583,1,3,1
K044,Transition,0.8095188280610779,-6940.543782730483,-1.4016252587991718,8.478941738886862,5.11,6.88,335,70,159.786,-2.413,6.85,0.464,2.683293298,1.571523774,0.887181388,527,67,0.1576407229015425,14.85,1.16,38.8837,-76.5583,1,3,1
K044,Upland,5.79844315738299,-8725.700918348488,-0.8890188405797101,-0.2534826086956522,5.11,6.88,335,70,159.786,-2.413,6.85,0.464,2.683293298,1.571523774,0.887181388,32,18,0.5468707261761392,23.73,1.19,38.8837,-76.5583,1,3,1
K044,Wetland,30.803486608556533,2221.3108597285072,-0.3924282805429865,0.08904011945701375,5.11,6.88,335,70,159.786,-2.413,6.85,0.464,2.683293298,1.571523774,0.887181388,179,17,0.33046594982078853,4.77,0.5,38.8837,-76.5583,1,3,1
K062,Sediment,62.03944853823521,-4815.713554987211,-1.4312814645308924,-8.605657073361149,7.54,7.22,244,132,525.472,1.603,6.08,0.929,3.150946437,1.631749879,0.887821283,452,15,,,,38.8753,-76.5513,1,1,1
K062,Transition,0.28499065624941594,17405.642176238085,-1.7051739130434784,19.734175316903045,7.54,7.22,244,132,525.472,1.603,6.08,0.929,3.150946437,1.631749879,0.887821283,199,31,0.377257525083612,6.84,0.43,38.8753,-76.5513,1,1,1
K062,Upland,0.19476681022618217,29036.18084815321,-0.18114545454545453,1.0297432605397336,7.54,7.22,244,132,525.472,1.603,6.08,0.929,3.150946437,1.631749879,0.887821283,44,14,0.7722222222222223,10.06,0.5,38.8753,-76.5513,1,1,1
K062,Wetland,104.38743990696229,-57276.31408199643,-5.083402045666751,2.465523111620407,7.54,7.22,244,132,525.472,1.603,6.08,0.929,3.150946437,1.631749879,0.887821283,326,23,0.24366197183098595,6.83,0.76,38.8753,-76.5513,1,1,1
K052,Sediment,62.20744704491515,4339.634271099742,-1.9566260869565215,0.4576652378516628,15.06,6.92,263,92,1089.259,4.531,7.03,0.54,3.162861052,1.53839579,0.885048211,275,22,,,,38.1595,-75.7905,,,
K052,Transition,0.4239208378480099,18171.121848739494,-1.268571428571429,-0.4971428571428571,15.06,6.92,263,92,1089.259,4.531,7.03,0.54,3.162861052,1.53839579,0.885048211,18,3,1.6501374594732965,3.06,0.23,38.1595,-75.7905,,,
K052,Upland,0.22147303294528572,23988.815987933638,-0.9992307692307691,41.18909048868778,15.06,6.92,263,92,1089.259,4.531,7.03,0.54,3.162861052,1.53839579,0.885048211,16,4,1.449051724137931,3.87,0.22,38.1595,-75.7905,,,
